Author,Comment,Predicted_Class
@waelhussein4606,"Love your channel, but cut it down on the sponsor- it’s way too much! 😬",2
@alexknex5898,"FIA pissed me out when they started banning every new innovation , like the one done by Mercedes on the steering",2
@barnabasbartha5595,"OMG I JUST FOUND A FLAW IN AN MQBHD VIDEO!!!!!!! THIS GOTTA BE RARE AS SH*T!!At 11:27 there's a little mistake in the diagram. In the last row of the ""engineer's competition"" side the icon's missing it's bottom right piece. Also reeeeeaaally good vid, thanks for taking the time to educate us """"""peasants"""""".",2
@corpo_ethereal2744,"That Bitdefender ad placement was so seamless, nice.",1
@Eepistoo,tl;dr F1 is pay to win race.,2
@fluid1614,Always thought F1 was the most boring sport till the Netflix specials. Now I'm atleast interested to watch when I turn to the wrong channel from time to time,2
@morganmensa5129,I remember in the late 90's at a shopping mall in Australia they had a Ferrari F1 car in the middle of the centre to promote the Grand Prix. i went there for days and looked at every part on it.,2
@woz1p,y lo que mas me gusto de todo esto...,2
@nicolorusso2301,"Very interesting video, I might start watching F1 now! Sounds very interesting",2
@shushruthmg4630,How much does he charge for sponsors in these videos,2
@SYchannels,super nice video... great CG. love your F1 CAR design,2
@bird_freak,"My 13 years old son know I’m MKBHD’s fan, Toady he let me watch this video, now I have to watch all of his favorite  F1 videos and movies he was asking me to watch a long time ago 😅 BTW I was impressed when he yelled HALO before MKBHD was about to say it!!",2
@dudejazz,One of the worst videos of MKBHD felt like he was more of forced and promotion oriented video >>> could easily feel it lacked interest and passion in it,2
@Helixal,Sold. I love it,2
@playversetv3877,formula 1 is a pretty good phone. but too expensive for me,2
@forestnfren8146,has anyone ever explained or figured out exactly what is so annoying about this guy?,2
@itsmeroblife2311,who goes P1 and P2 in the qualifying race?,2
@an_archy,stick to phones.,2
@benjaminchai453,f1 is dying,2
@Chrisarequipa80,Also not the guy who as all the titles is necessarily the best ever.,2
@Answer394,Watch v12 v10 engine eras Sound that will make you fall in love,2
@jmv9491,3:42 when did the like button start lighting up when it's mentioned in a vid? O.O,2
@jack_underwood,You got me into F1!,2
@Limesbund,Bitdefender sucks,1
@owenbaggaley958,The way you advertise bitdefender is honestly infuriating,2
@tnc_designer,Thank you for this 😊,2
@jameswhee,Just got a job at Red Bull which is a good reason to start following it 😂,2
@andresgroove,"It's science Mr White!, science!",2
@Euc_Li_Rider,"Wow now I learned more from this. Excellent breakdown Marques..!! Tires, halo, plank of wood. Haaaaa. Awesome",2
@danielolajumoke4389,Me: I'm a fan. I will be watching F1 🤝,2
@sonofkeye,I just saw Ford v. Ferrari the other day. Thanks for breaking things down.,2
@yashbhatnagar4557,"its a really nice video, but it just explains the tip of the iceberg. the amount of teck and endurance put in this sport is unreal.",2
@Abdullah-fs1kr,2021 was when f1 died,2
@diddyphil6196,"Good evening boss,what’s the best TV to buy at the moment 65inches",2
@tonchie23,There is so much technology that was invented for winning F1 races that later trickled down to the cars we drive.,2
@cmac0695,"As an F1 aficionado, listening to your disection of the sport made it far more interesting.  Your journalistic aptiitude is phenomenal.  Next time I want to tell anyone why this sport is so exciting, I will definitely direct them to this video.",2
@blahblahblahblah164,Video would of been so much better if you didnt mention bitdefender every minute,2
