Author,Comment,Predicted_Class
@Astrad-gf1dz,A,2
@sonamuneef8214,Jasmine munnot povan vendi enth nariya kaliyum kalikum..purathum akathum angne thanne,2
@user-qx3in9cd4b,The big fashion show was a blast,2
@ptvlog6474,Don't go bro,1
@minnu8212,Angina parayallu chellu ubaid air ilakkum😅,2
@ShijiSabu-yg6wm,What was the criticism in the car😂😂😂,2
@Noomie44,Saiykk jasminod premam alland nth parayan 😂,2
@shahidschannel9919,It seems that Bigboss is a cheating program..things happen according to the script they give..I thought bigboss is fake.,2
@Epicangel07,Poor Sai🙂 guy is a poor guy. I don't think Sai is BB material for someone who is so loyal. We need our Secret Agent 🥲🥲🥲,2
@User9_294,"Le Sai🔥🔥🔥- ithu chumma trailer, the picture is still left my friends",2
@murshidabanuIife,"Aslala loves her own husband...Jasmeen, all the men she sees and everyone 😂.. two people can never be compared. Aslala has no merit to marry Ilya with Jasmine... On Aslala's wedding day, Jasmine held Amj's hand in everyone's attention 😂 After that I saw the video of her throwing the box. ... Aslala closed her eyes and opened them before Jasmeen told Amju how lucky Aslala was.",2
@aswathyvr452,Saiyude mondha kanda 😂😂😂,2
@afrasafuafu1286,5:8 aama ni periya manushan thaan,2
@Surya-bz2mw,Njan mind cheyythilaaa ...........😅,2
@melv844,Khaiz is right,2
@lekshmykishore,Vazha sai,2
@ArunGopi-nl1uw,"But because of Arianna, she has reconciled",2
@CommentCriticChronicles,You need more patience brother. I don't think it's very wise to play with externals.. Isn't it better to stand against friendship or trample..? The wild card knows that playing against outside negatives will get applause. Sai why did you show that like you said it must be because you give more value to friendships.. Even this confusion we have may sometimes be his game. Everything know in the weekend.,2
@WhiteCollarCriminal-et9lo,Don't blame Jasmin in this situation..the whole world knows that the poor family's daughter is a prostitute😢 Poor Jasmin's parents must be in pain knowing that their daughter is a prostitute😢 How will the parents tolerate that their own daughter made Gabrik indulge herself under the blanket😢😢😢,2
@sunusree3689,Then Jasmin's father is standing in the bakery and said that the video was made to preserve the friendship,2
@pachalambhasi,Mathiyada avane velupichath,2
@resmirs8228,pulli expectation complete thakarthu kalanju jasmine agent aayi,2
@nadeemnoor1372,What a revelation...,2
@nadeemnoor1372,Sai and you will get close if you are careful.. That's all there is to this push.. You should get down on the ground and play bro...!,2
@angrygrl4446,"Le Ari Annan to Jasmin.. People say many things, don't stop, no one here has the ability to hate 😂😂🤣🤣🤣",2
@pachalambhasi,Ath avante friendship maintain cheyanula kazhiv ala. It shows that he is characterless. Elarem ookum enit arelum vannu soapittal avan avde veezhum. Enit pne avare nyaayeekarich video idum. Double daddy syndrome,2
@Dr.La_vender,Hence proved - vere alkare pati chumma irunnu samsarikan bhayangara easy aanu . Swantham aa positionil aavumbozhya manasilavathollu.,2
@niveenaraihan3537,He spoiled himself,2
@shylajap239,Mattullavare caril irunnu valichu keerumbol thanikum ingane okke kittumennu vijarikanam.Especially BiggBossil..ethra pere vazhaya chenaya ennoke paranjirikkunnu..appol avarumonnu theerkatte kalipp 😂,2
@shreyatvm123,Verum Vazha ayipoyi Sai.,2
@nisha8613,Secret nte demand ne means cash ne bb sammathichapol avide conditions um kanum ..athayirikum inganoke arkariyam ...ethayalu. newspaper agent ayi ipo sai..secrets sookshikan patatha secret agent .see see see ennum paranj avide annan parayan thudangumbolekum episode full akum😅,2
@dragonguys6747,"It's not Sai's fault 😃Instead of the sofa in the Bigg Boss house, give Sai a car seat and a steering wheel and then you'll see the game 🤣🤣🤣",2
@mhd_adil_9008,Not like that bro secret agent even if he is a friend he blames like you 🤣🤣,2
@abik2432,"Don't justify more... Seeing Aryan's work, I understood that he is a person running a double father program...",0
@arunbabu8112,Secret agent oru public agent ayyiii😂😂😂😂,2
@lm7773,Ni paranja pole aanenggil robinondum aa sneham vende robin bad aanenn paranj varanda jasmin pinne nalla aal aanello,2
@monster6571,Avan karil irununu avante peninte poor chapanum jasminte adipavada kazhukanum ariyoluu myraan,2
@swathyganesh5241,Vealuppikkan khaiz Annan erangi,2
@smithabiju9001,Nattukarae motham kuttam paranju nadanna annanum anniyum😅😅😅dr robin story 👏 ❤❤❤chuper,2
@Reghu-pb1ow,Monna Sai,2
@mathushal7959,"When the beard went, so did the intelligence",2
@MelvinAntony-bk9of,Saiyude veetil ninnu call anuvadikkan BByodu request cheyyunnu.. alla.. Jasminu mathram porallo ee offer okke.. 😂😂,2
@stephybenny6206,Enthu paranjuvannalum avasam jasminil ethum😅,2
@PriyaP-wt4ge,Gopinath sin ne thakarkkan nokkiyathode secret agent ne veruthu poyi ayaalude channel unsubscribe cheythu,2
@smithanair1951,Enough said. We also have intelligence,2
@akhila465,Jasmin-gabri ❌jasmin-afzal❌ Jasmin -bigboss ✅,2
@sahanasaanvi3283,E sai hair colr cheydhit thala choru poyo or endha eyalde udesham.jasmine ne cup koduk ahno or endha🤦‍♀️🤦‍♀️🤦‍♀️,2
@Gooooonmboiwqqhiooooo,She is the member of SAI's YouTube organization. They are all a formidable bunch on the outside. Maravaza came to win her over.,2
@Psychology_Wisdom,Sai de body language okke orumathiri bhayankara inferior ayapole.,2
@nima_00,"Today ,khize ikka looks very handsme and manly .......... ❤",2
@jazeelmuhammed3655,"Njanoke enthenkilum game kalikumbol avide friends enna sadnam angu marakum, only sports man spirit❤",2
@smithabiju9001,Robinae kuttam paranju views kittiya teams nintae okkae sherikulla character exposed ayi😅😅😅onnu podo 😅nintae voice clip enthayi😅😅😅,1
@DailyBulletin23,"Similar is the stand of secret agent in the case of Karthik Surya... Frk was so serious and made sexual allegations against Karthik Surya, but secret agent did not say anything about it...",2
@raindrops769,Is this talking about the same secret agent who had a big boss named Robin and then became a company on one occasion and then engaged and went to sing and dance and subjected him to cruel cyber bullying and criticism one morning? Karma is for real... then he gets back in proportion...,2
@AngelEric,Ethu frnd inodu ulla support anno??? Atho opposite annoo???,2
@anjusss598,I feel this is Sai's act....after 2 weeks the real person will come out....like Ansiba 😂😂she just got out of bed...like that everyone will see the original,2
@mvcutz7398,Agent Jasmine❌Mullappoo Sai🤌,2
@rhymes6125,khaiz polichu nelapaAdU ... FUKRU EXAMPLE ...,2
@sindhusayi9350,Dr nte sweet revenge polichu 😂😂😂😂,2
@BablooKuran,"What ever it maybe  your  sai....is just "" paavada agent."" Now.",2
@mumtazhameed4747,Ed Mubarak.,2
@master.steve.,Chettande e videodu njn accept chyunilla.... Game kalikumbo character important alla,2
@ajipaul1239,White washing freind 😂,2
