Author,Comment
@strellinmalayalam,"For purchase and test rides, contact Nine Star Suzuki HSR Layout - 901 902 3333<br><br>Whatsapp: <a href=""https://wa.me/message/MOI2PZCKSC5KA1"">https://wa.me/message/MOI2PZCKSC5KA1</a>"
@karthikkarunakaranmenon6785,Suspension harshness is an issue 😢
@QuaProsTer,"Dear Strell<br><br>Kindly add the clutch feel in all of your bike reviews. Because it is very important in the city usage (especially in Bangalore, I hope you know well 😜).  And also add the mudguard functionality.<br><br>Thank you"
@jamshick2944,I didn&#39;t like it..I ran away
@paulbarber6071,"Booked this last day! Waiting for the bike into the hands! <br>Test driven the bike , it’s nice! <br>Switching from a standard 350 2018 to this! <br>Main concerns was safety and comfort while the long drives! <br>Done many long drives with the RE but still the safety features are lacking! With a pillion more pressure on the same! <br>Was looking forward to upgrade to a adv tourer and ended up with this! <br>Yezdi himalayan dominar and long list which was made and took the test drives! <br>But this machine stole my heart ! <br>Especially after all positive feedback’s, the looks in the road🔥🔥🔥🔥🔥<br>People has already seen and there is nothing new in the looks of the other listed bikes! <br>But this one is a head turner !!🔥🔥🔥🔥<br>This will take the attention of a petrol head a bit while it’s in the road!  <br>I was addicted and waiting now for the same to be in hands 🔥🔥🔥🔥🔥"
@georgenokia9572,"Engine over heat bro 20 km, oil cooler when run"
@renjithpathari4817,For back pain which bike is comfortable
@anoopn9707,Nice and well thought out review👌
@rahulachu5747,"Hi Strell, <br><br>Is it possible to use radial tyres on storm 250 if the intent was only highway touring..??"
@WizardOzTheGreat,"You must add an English translation below those Malayalam texts in your video. Hope your videos are not restricted to only those who read Malayalam. If so, you can mention it in your video title, and people like me can skip it instead of watching it."
@ivinekt,Engine Cooling type?
@ajeshkumar680,Strell bro❤
@nimaljacob3257,Ee vandikku spoke wheel kittuo
@berd1465,Ninne pole kure pooranamar review cheythal angane kalangilla
@adhilvlogi,Splendor video
@jowharjaan,"Vandi eduthu strellinte, review ,apt anu.kurachoode detail parayan und 37,40 milage kittum.pinne noticimg bike with good milage"
@techyfonefix1701,Good perfomance impressive in last one year
@aqib96,Vfm adv bike
@Godwin.j,V storm 82kmh<br> Activa is ahead.<br><br> V storm: Appo njan entha pottana ?
