Author,Comment,Predicted_Class
@LONEWOLF-kh8np,Ee cinema full vere making aah oru buildup anu padam,2
@midhun603,Complete fake 😂,2
@vivekvaikkattil9958,Alcoholism ithrayum promote cheytha padam…,2
@ashiqq1234,I sometimes have a chance to put the sword 🤣,2
@anandhukp1776,Christians,2
@user-uz5or6lk8i,SUKUMARO Kalabhavan bell,2
@thimmaiahsharadammathimmai4548,Wonderful movie superb 🎉😊,2
@moosatm,You can delete it,1
@akshayviswanathambadi1267,0:16 ....Manichetan's expression 😆,2
@hi-ry3yb,Dk man 😁,2
@badruddeeng1688,161,2
@nidhinidhi3049,It's a pleasure to see Ikka holding Manichetan on her shoulders,2
@shalu1111,Manichetan was one of Ikka's favorite actors. So was Manichetan and Mammooka,2
@ajithk.kajith.k.k6948,Manichettan ❤,2
@prashobunniunni4130,Bindu Panikkar there is no salvation 🙏🏻,2
@jayarajanev4718,3x😮😊😢😮😅,2
@orukannurkaran,5:00😂,2
@febzzff2003,Kootukkettu nashippichu oru veliyakalakarane mani chettane oro cinemayil kanumbo sangadam verum😢adheham hospitalized aavunna aa news kettathe enikku innum oorma unde 😔💔aa oru nyt marakkan pattilla adhehathinte songs ellam kelkkumbo😢,2
@niyasniyas1770,Kalabhavan Mani Chetan is a good human being miss you Mani Chetan,2
@_zayaan_4495,Film?!,2
@aseeskutteeri2717,Uff 💥💥💥💥💥https://youtu.be/JDLxx-uUXNM,2
@aseeskutteeri2717,Uff 💥💥💥💥💥https://youtu.be/JDLxx-uUXNM,2
@aseeskutteeri2717,Uff 💥💥💥💥💥https://youtu.be/JDLxx-uUXNM,2
@MuhammedSalim,5:02 😍😍😍,2
@naseernaseer4051,=,2
@aridoshi68116,Bindu panicker ❤️❤️❤️,2
@rakeshpulappatta7256,Marichu poyavarude abinayam kanumbol ntho orupadu sankadam thonunu othiri missng,2
@kingsolamen8101,Bindu Panicker 👍🏻👍🏻,2
@sree8036,"If Kudi had been controlled, even today. A man called Kalabhavan Mani would have lived 💔",2
@jishnuchelari9259,Nte Manichetta,2
@shahazadvayaloli7749,Movie name,2
