Author,Comment
@soloviner,"Download Astrotalk app here - <a href=""https://astrotalk.com/link/SolovinerAP"">https://astrotalk.com/link/SolovinerAP</a><br>First chat is free from my link"
@Ni_podi_galli,Myran gibri ye purathakanam
@BharatKaBachaa,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=180"">3:00</a> ellaavarudeyum kaat oru naal pokum thalle😂"
@NAZEEBBRO,😂😂
@Vaishhhx3,5like 🥲
@anuanswara7273,Ithavanathe cup mohanlal kondupookum
@midhunmadhav4548,Astrotalkilum jyothishathilum viswasikkunna nee dhurmantravadharhil enthaa viswasikkathe 😂😂<br> Kashtam thanne enthayalum
@anooppayyannur9256,Nee aswathy ne kettum ..ethanu bhaaaavi
@malayali5043,😂😂😂😂😂😂
@arunasanthosh1968,70 like tharoo
@athulp8498,Mama bossannan😂😂
@DevadarshR,May you burn 🤣🤣🤣⚡
@user-ps6zb4qs9y,Enne onn support cheyyumo pls😢
@_humanbeing_Homosapien.,Reshmin lesbian ahne.
@KhasimTN-oe5bn,100 like three 😢
@BrightBaby-zv2zb,1 like tharamo
@SCIFIASTRO59,Can I get a 100 like pls😢
@shameerau7252,10 likes tharumo pls 💙❤️
@ashin01,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=198"">3:18</a> - <a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=228"">3:48</a> Ithe same dialogues thanna bruttoyym avante chanalil itta videoyill parange. Ad thanavar athe script thanne ahnu bro yikkum thannathennu thonnunu"
@fabiatomy,1000 like tharamo
@user-qh5ck6xq6p,Ivanaayitt janichirinnel njn jananadivasam thanne athmahathya cheythene 🤣
@KBFC1FAN,Mm
@Vavachizz_vlogs,Adutha season onden abweto nagavalli matte pullikari aan karupp virothi 😂<br> Ho orkan koode vayya 😅
@RDdggrd,Astro talk 😂mudukan
@shijin6896,200 like tharumo??
@faiz.x,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=611"">10:11</a> deathnote bgm🔥😮‍💨"
@manuvelbobas2086,Lokam motham predershippikkum allee....ennit enthina kanunne..😂
@user-hw6xh3io8c,200 like tharumoo
@athulyasujithk6165,Astro talk paraynnath njn ee Yr marriage cheyyumnann nokkam
@frzkofi,You will be there next season Da Panni 😂😂😂❤❤❤❤❤😂❤
@Sayulegend,😂
@ismailcheriyaparambath7740,Jinto ❤
@sarahthomas2922,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=195"">3:15</a> - <a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=215"">3:35</a> aiyeee....vella kallayathu mone...ithokke promote cheyyunath sheri alla. Ithiney kaatum bedham vellom product promotion aarunnu."
@SoulHunter171,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=215"">3:35</a> <b>Do you tell them if all these things are God who does not exist?</b> 😱<br> <b>Let me ask you something that I should not know, what century are you living in?</b> 🤢🤮"
@user-wt2fz8fk4o,Deey orr 1000 like thaadeeyy
@anusree54,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=369"">6:09</a> 😂😂😂😂😂😂"
@jeringvarghese9631,200 like tarumo
@bineeshvb186,1 like theramo
@trailersnow1703,3.50 dey dey all this aanondey is promoting.....we also want to get money don&#39;t we
@Th3millionairegirl,"Jasmine very bad mannered, very bad speech. At worst character assassination of others (mixing good language with bad language). Gabri jasmine couple i support. Don&#39;t let this thing called Gabri come into the head of any other girl. Jasmine has to. But for jasmine gup any lovel will play cheap gabri tekete ollu. 🤢🤮"
@Yazeen2007,Told to say that the secret agent has come.
@upsclegends27,Athyy review allla😂arkkum doubt onullla
@Yn-kt5xp,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=612"">10:12</a> 💀😭"
@AnilSingh-ch2od,Bigg bossine blamed and left<br> And will do 😂
@Ae_stri_n.X,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=192"">3:12</a> aare kalyanam kazhikkunennu👀 mean while aswathi🔪🤨"
@Fun_v_1,1 like tharumo😢
@neethumolk8976,😂😂😂
@subscribe_this_channel__,<b>no one can replace soloviner💯🔥</b>
@thahiraansar8295,50 three times
@RKGaming-fr3bw,10 like  tharamo places
@manojkc3044,😂
@RKGaming-fr3bw,Age 10 my face broke  🤕🤕
@ummuassainar1935,Bigg boss ❌ bigg vaanams ✅
@user-of9zp8du6f,Gabri...makri
@user-fv3dw3ib7f,Do you like season 5 or 6😄
@user-fv3dw3ib7f,"Janmani, what are you showing there?"
@adnan543,Ninkk varee onnum ellee edaan😅
@user-di7rr2my3h,Swabhavikaam 😢😢😢
@rasco.444.,"This is..<br>SOLOVINER❌ JANMANI DAS✅<br><a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=149"">2:29</a>"
@Anilkumar-mv2bz,😂chirichu ...chirichoru vazhiyayi
@anupamaroy2430,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=346"">5:46</a> 🤣🤣🤣"
@AbhiKannan-xu8sj,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=352"">5:52</a> 😂"
@Everything_will_be_ok.,Janmoni das ❌ Mantravaadhi das ✅
@Adxrsh__,astro talk nte promotion same dialogue thnne ann brutto yum paranjekkane
@karth_ik,🤣🤣🤣🤣
@PriyaJayanath,Oru 1k like tharumo
@seetharajesh4613,𝟑 𝑙𝑖𝑘𝑒 𝑡ℎ𝑎𝑟𝑎𝑚𝑜
@Unnivlogh,Sigma mindaruth 😂
@thanu259,𝗦𝗼𝗹𝗼𝘃𝗶𝗻𝗲𝗿 𝗳𝗮𝗻𝘀 𝗽𝗼𝗿𝗮𝘁𝘁𝗲𝗲.... 🙌🏻
@soumyasoman3753,Jaanmoniye kaanumbol chorinjukerunnnavar undo 😂
@soumyasoman3753,Bigg boss tvyil kaanunnavar undo comment
@soumyasoman3753,50 like tharamo😢
@souravlethesh3267,Janmani paranja kaato jaanum koche penkutty allaane😅
@Titan_Zeuz,1 like therumo
@sabiazad350,Bigg Boss yugam
@Siva.s-xc9fk,Koduman is a pot
@Af_guppies,Thoppi big bossil vannaal enthaakum
@Af_guppies,Thoppi big bossil vannaal enthaakum
@salihasaleempp6906,good video
@sineeraanzar4936,Eth &#39;kai&#39; aan. Dragon balls ile supreme kai aano? 😅
@user-ol2ns2uf3q,50 like tharamo
@Fasnan2.,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=362"">6:02</a> 😅😅 100 like tharuvo<br>👇"
@mathaias1561,1 like tharumo
@user-vv8ys1vy9r,"😅😅 <a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=529"">8:49</a>"
@Padmanabhan-ic4hq,Norane reacted cheyy
@alfin_c_,Ni seen Ada muthey 😂
@mohammadnihad.k3051,Soloviner fans like adi👍
@williamshakespearkannan7805,Astro talk inte karyam copy paste pole pala youtuber marum paranju😂 enikke vattayathano ellavarkkum vattayathano🤣
@Top10things172,Toppy + wicky tug kode aduth big bossil vannal💀
@user-zg9sd4lk2i,Solo vinere eda njn ippo brutode vedio kandit vanne oll nee kandd nok 2um samee mate astronomy oo athinta
@Dark_Fire5,Enikk 100 like tharuo
@efxmedia7,Purhiya filter police 😂
@Modified98395,1000 like tharumo 😢
@jynanu6349,Kollam kollamm😅😅
@user-oj7mx5lk7e,"<a href=""https://www.youtube.com/watch?v=FsCCW4izWp0&amp;t=151"">2:31</a>"
@user-kx1zl7mc2q,"Broo atleast change your script of astrotalk, every youtuber is saying the exact same thing 😂😂😂 and same name pallavi ....nowadays nobody is trustable"
@user-of9cm4wu9f,😂😂😂😂😂😂😅😅😅😅🤩🤩🤩🤩🤩🤩🤩🤩🤩🤣🤣🤣🤣🤣🤣🤣❤❤❤❤❤❤
@Ajay____999,10 like the sermon
@IND-AKKZA,Janmani❌kalakeyan ✅😂
@divyamolvb4162,Hi
