Author,Comment,Predicted_Class
@PeterCorsa,"Hello Julian, thank you for the help. I was hoping to view the json data in the terminal on the web page, what video is that in?",2
@MegaMooj,This is great content. Thank you!,2
@gamex-animex6289,is it possible to send data from flask back to javscript without using jinja?,2
@MatSzub,"I was looking for a clear answer how to perform communication between front to back-end for a long time. And after that I found this tutorial, which is clear and understandable for me as a beginner. Julian Nash - thanks a lot. It gives me a milestone in my first programming project.",2
@pro_grammar,You really helped me solve a big problem. Bless you,2
@gabriellsscolaro,"How to hide this script from the client side, or can I make a post of these values and sent to the back end to do some stuff in a python program (back-ended)",2
@adomassem,"Thanks for great tutorial, really helped me with my project!",2
@TheCacoVenom,"good explanation but I really want to click and move another route by rendering a template, so far I am in the route but since is not JSON and instead is <!Doctype is giving me an error  Uncaught (in promise) SyntaxError: Unexpected token '<', ""<!DOCTYPE ""... is not valid JSON",2
@sayhellotoroy,Flask forms would work better in this case I believe,2
@junivensaavedra882,"Excellent resource, thank you very much. :)",2
@liquathrushbane2003,"Gah! This video got me.  Didn't see (in the previous video) about adding a  {% block script %}{% blockend %} in the public_template.html so it took ages to get working.  Still, enjoying the series so far.",2
@amd.615,"Very Helpful, thAnks to you 👍👍👍",2
@joaopaulocoimbra9381,Amazed by all the talents Charlie Cox have.,2
@stephenthumb2912,"At its basics,  it's just a way to perform API POST, GET...,  directly from vanilla JS inside the DOM, then you're just communicating with your python backend as normal.  For some reason that was confusing at the start.",2
@BharatChawla55,Bro you just saved my day! Thanks a ton!,2
@ik4rus2k,"Hey Julian, thanks for the great video! Could you please explain how to actually return the response? i always get ""Undefined""",2
@bull2026,Saved my day ..,2
@Imufur,why use this and not a request.args or request.form or something like that?,2
@soldadopreciso,"Thanks pal, very useful tutorial, greetings from South America. Greetings fro the flask community.",2
@ivanmclennon,"this was really fun, shame your channel's dead",2
@danielandresclavijogiraldo4953,"If you use Token CSRF, I recommend putting this on the headers ""X-CSRF-TOKEN"": csrfSi utiliza Token Csrf, recomiendo poner esto en las cabeceras ""X-CSRF-TOKEN"": csrfExample/Ejemplo:csrf = 'Your token'headers: new Headers({  ""Content-Type"": ""application/json"",  ""X-CSRF-TOKEN"": csrf})",2
@alharethturab7612,is it possible to send octet-stream inside the json along with other types of data?,2
@manhdannguyen6059,Thank you very much <3,2
@jonsnow9758,"Need HELP As per this tutorial I'm sending data with POST request using fetch();in my views.py file I'm able to print it in the console. But when I pass it using render_template() to a html file, the table rows which I expect to update are NOT updating.",2
@saurabhagarwal9253,very useful video.. few things need to be updated in the code to make it work error-free,2
@jonsnow9758,Best Python Flask Jinja Tutorial available on YouTube !!! He has explained each and every thing properly.That's exactly I was looking for... Amazing ....Thanks a ton Julian!!!,2
@muhammadshafeeq8779,Thank you soo much for taking your time to do this. I dunno if u hear this a lot but ur special.,2
