Author,Comment
@sajeelaa,Zoo Boss supper
@rubeenapm173,Jasmine ishtamillathavar after bigboss😑😑😑
@neethumolk8976,😁😁😁
@Kmc_king000,Hello guys
@Sam_t_000,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=309"">5:09</a> no bro he&#39;s a Pro boxer ❤"
@user-ty2ss9de2e,Yes
@haneenaashraf701,Jasmine oru muslim aan aval thanne orkanilla
@bhavananair3519,Oru 27 like tharumo
@pharahogaming8900,"agree <a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=199"">3:19</a>"
@amanmalikmalik7207,And
@user-vy9ny4jx5q,Neee committed ayadhin pinne ninte vd nokn paangilla😢
@user-vy9ny4jx5q,Jasmine istamullawar like...
@user-pv4re1uz8d,You will understand that you should also go for it
@salman.fyzzzz,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=382"">6:22</a> padachone🤣"
@ayushdev1327,1 billion like tharumo🤓👇
@vaishnav-vj3gt,in one word it is a zoo
@safwanabeegam1437,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=433"">7:13</a> crct💯"
@starry.05.,gabri ❌ narry ✅
@SureshKumar-bk7qm,Good
@santhinianilkumar5363,Jinto I give 2009-2010 mr kerala😂😂
@RenjuRenju-dx6dh,Jaanmoni😂😂😂blablabla😂😂😅
@s4sanju34,"World best couples Jasmine gabrii,,, hoo ponneeee...... 😴😬🤧🤮"
@s4sanju34,The contestants in bigg boss must feel disgusted with themselves after seeing this video...... 😡
@6b21dayaxjohny3,Jamineta thalake pata kole eduthe adikanam
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️
@beenarocky4503,The people who don&#39;t see big boss 😂👇❤😅
@beenarocky4503,The people who don&#39;t see big boss 😂👇❤
@beenarocky4503,The people who don&#39;t see big boss 😂👇❤
@beenarocky4503,The people who don&#39;t see big boss 😂👇❤
@beenarocky4503,The people who don&#39;t see big boss 😂👇❤
@beenarocky4503,The people who don&#39;t see big boss 😂👇❤
@beenarocky4503,The people who don&#39;t see big boss 😂👇❤
@Ashiponnu29,😂
@ashasuji2218,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=290"">4:50</a>"
@ashasuji2218,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=278"">4:38</a>"
@shivaganga4043,Imagine the contestants watching this after bigboss😅
@KKrish-iv2ig,Hi chetta number tharumo please 😢
@asifajim2075,Randuperum oru bedil kidannennum paranju onnum sambhavikilla gabrikk athinolla kazhivonnum illa
@jithuappu7131,🤣🤣🤣
@ansalnarajeeb2000,Big boss is watched through this 😁😁😁
@somanv.m.1380,The debauchery of lustful and lustful men.
@ffachuyt8042,Big boss means = samuha vivaham nadathunna sthalam
@vishnu-nm1cv,Gabri appi itta cherkkan😹
@sindhuealias4750,Hlo... Hlooooo😂
@sherinslog4582,"However, as you said, it happened and Rocky was knocked out"
@reaction_is_not_easy.,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=540"">9:00</a>"
@AyamuttiAyamutti,TŔFU7Y7ud
@absharahamed945,bro spitting facts🤣
@__chichi__515,jamine gabri haters like👇
@__chichi__515,Jasmin 😂😂 cuteness yt il thuri ariyummm ippo avallude Vali poyi
@__chichi__515,Jasmin ninne peedipichal athene ni lover enn aano parayunath😂
@__chichi__515,😂😂😂😂😂😂
@Vibes-with-renju,"Condent venomkill big bossill new seen undayirunnu enthanu ennu nanjn parayunnilla ,just watch and see😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊"
@padmapadma3605,Gabri &amp;jasmine friendship or love .kru kuthavum manasilakunnilla🤨🤨
@jewelsanthosh4680,Oruç aninum peninum orikyalum Friends ayi jeevikyam Patti la jasmin
@fabeenajasmine1039,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=381"">6:21</a> finger"
@FathimathSalima-ov8io,Arjun fans like white🥳❤️
@Amal-yv3jg,Alappuzhayil ullavar like
@Amal-yv3jg,10 like tharumo 😢😢❤❤
@Amal-yv3jg,Oru 20 like tharumo
@Amal-yv3jg,10 like tharumo
@sujithsudhakaran8704,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=440"">7:20</a> Kollaamm kallaakkii👌👌 mone"
@user-tq6lg5zm4r,Jinto is actually my grandmother’s student and my father’s friend. When I realised that he was in Bigg Boss I was telling everyone to vote for him.😂 <br>MAnikamangalam
@neogamerff5381,GABRI ❌ CHAPRI ✅<br> BY SOLOVINER
@user-qj6wk7pf7d,9:43 am minutel Jasminete expression 😂
@Bablugaming-FF777,Fuck off. 😂😂😂😂😂😂😂.
@user-gw5su4tr2b,Bro ethan vaya lokam
@dreamingboy8019,❌Gabri❌<br> chapri✅
@Marsh12-fj1vb,4th tym kand chirikuna😂😂😂😂
@shijimolpsshijimolps1775,"If we had got the place, we could have bombed it"
@sreeh..-ki4oc,Janmoni parayunathe entha enn manasilavathavar undo😅
@sweetybinoy9510,Jasmin Haters😤
@sellufamily7882,🥰🥰🥰
@vasanthiv9154,😂
@Redox_men_,at last.....real friend ship :)
@aadhiljamal9218,Jinto seen ..njan chirich chathu😂😂
@bangtangirl2465,Enikum big boss istamalla 😌🙏
@Shigarakix3,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=202"">3:22</a>🙂yeh"
@lightningaw1698,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=388"">6:28</a> paranjath athupole nadann"
@akhil-xq9rr,Vdo kolladaa chumma 🔥
@shaana1694.-.,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=618"">10:18</a> TRIPLE STAND 🙂🔥"
@shaana1694.-.,"<a href=""https://www.youtube.com/watch?v=yix2dGScFys&amp;t=436"">7:16</a> point 🔥"
@jayanv4415,Oh Myr
@user-nf5gw9qb7e,Appi love story 🤣💩
@vijilaap1017,Iam not there fan but they r just friends
