Author,Comment,Predicted_Class
@soloviner,Download Astrotalk app here - https://astrotalk.com/link/SolovinerAPFirst chat is free from my link,2
@Ni_podi_galli,Myran gibri ye purathakanam,2
@BharatKaBachaa,3:00 ellaavarudeyum kaat oru naal pokum thalle😂,2
@NAZEEBBRO,😂😂,2
@Vaishhhx3,5like 🥲,2
@anuanswara7273,Ithavanathe cup mohanlal kondupookum,2
@midhunmadhav4548,Astrotalkilum jyothishathilum viswasikkunna nee dhurmantravadharhil enthaa viswasikkathe 😂😂 Kashtam thanne enthayalum,2
@anooppayyannur9256,Nee aswathy ne kettum ..ethanu bhaaaavi,2
@malayali5043,😂😂😂😂😂😂,2
@arunasanthosh1968,70 like tharoo,2
@athulp8498,Mama bossannan😂😂,2
@DevadarshR,May you burn 🤣🤣🤣⚡,2
@user-ps6zb4qs9y,Enne onn support cheyyumo pls😢,2
@_humanbeing_Homosapien.,Reshmin lesbian ahne.,0
@KhasimTN-oe5bn,100 like three 😢,2
@BrightBaby-zv2zb,1 like tharamo,2
@SCIFIASTRO59,Can I get a 100 like pls😢,2
@shameerau7252,10 likes tharumo pls 💙❤️,2
@ashin01,3:18 - 3:48 Ithe same dialogues thanna bruttoyym avante chanalil itta videoyill parange. Ad thanavar athe script thanne ahnu bro yikkum thannathennu thonnunu,2
@fabiatomy,1000 like tharamo,2
@user-qh5ck6xq6p,Ivanaayitt janichirinnel njn jananadivasam thanne athmahathya cheythene 🤣,2
@KBFC1FAN,Mm,2
@Vavachizz_vlogs,Adutha season onden abweto nagavalli matte pullikari aan karupp virothi 😂 Ho orkan koode vayya 😅,2
@RDdggrd,Astro talk 😂mudukan,2
@shijin6896,200 like tharumo??,2
@faiz.x,10:11 deathnote bgm🔥😮‍💨,2
@manuvelbobas2086,Lokam motham predershippikkum allee....ennit enthina kanunne..😂,2
@user-hw6xh3io8c,200 like tharumoo,2
@athulyasujithk6165,Astro talk paraynnath njn ee Yr marriage cheyyumnann nokkam,2
@frzkofi,You will be there next season Da Panni 😂😂😂❤❤❤❤❤😂❤,2
@Sayulegend,😂,2
@ismailcheriyaparambath7740,Jinto ❤,2
@sarahthomas2922,3:15 - 3:35 aiyeee....vella kallayathu mone...ithokke promote cheyyunath sheri alla. Ithiney kaatum bedham vellom product promotion aarunnu.,2
@SoulHunter171,"3:35 Do you tell them if all these things are God who does not exist? 😱 Let me ask you something that I should not know, what century are you living in? 🤢🤮",2
@user-wt2fz8fk4o,Deey orr 1000 like thaadeeyy,2
@anusree54,6:09 😂😂😂😂😂😂,2
@jeringvarghese9631,200 like tarumo,2
@bineeshvb186,1 like theramo,2
@trailersnow1703,3.50 dey dey all this aanondey is promoting.....we also want to get money don't we,1
@Th3millionairegirl,"Jasmine very bad mannered, very bad speech. At worst character assassination of others (mixing good language with bad language). Gabri jasmine couple i support. Don't let this thing called Gabri come into the head of any other girl. Jasmine has to. But for jasmine gup any lovel will play cheap gabri tekete ollu. 🤢🤮",2
@Yazeen2007,Told to say that the secret agent has come.,2
@upsclegends27,Athyy review allla😂arkkum doubt onullla,2
@Yn-kt5xp,10:12 💀😭,2
@AnilSingh-ch2od,Bigg bossine blamed and left And will do 😂,2
@Ae_stri_n.X,3:12 aare kalyanam kazhikkunennu👀 mean while aswathi🔪🤨,2
@Fun_v_1,1 like tharumo😢,2
@neethumolk8976,😂😂😂,2
@subscribe_this_channel__,no one can replace soloviner💯🔥,2
@thahiraansar8295,50 three times,2
@RKGaming-fr3bw,10 like  tharamo places,2
@manojkc3044,😂,2
@RKGaming-fr3bw,Age 10 my face broke  🤕🤕,2
@ummuassainar1935,Bigg boss ❌ bigg vaanams ✅,2
@user-of9zp8du6f,Gabri...makri,2
@user-fv3dw3ib7f,Do you like season 5 or 6😄,2
@user-fv3dw3ib7f,"Janmani, what are you showing there?",2
@adnan543,Ninkk varee onnum ellee edaan😅,1
@user-di7rr2my3h,Swabhavikaam 😢😢😢,2
@rasco.444.,This is..SOLOVINER❌ JANMANI DAS✅2:29,2
@Anilkumar-mv2bz,😂chirichu ...chirichoru vazhiyayi,2
@anupamaroy2430,5:46 🤣🤣🤣,2
@AbhiKannan-xu8sj,5:52 😂,2
@Everything_will_be_ok.,Janmoni das ❌ Mantravaadhi das ✅,2
@Adxrsh__,astro talk nte promotion same dialogue thnne ann brutto yum paranjekkane,2
@karth_ik,🤣🤣🤣🤣,2
@PriyaJayanath,Oru 1k like tharumo,2
@seetharajesh4613,𝟑 𝑙𝑖𝑘𝑒 𝑡ℎ𝑎𝑟𝑎𝑚𝑜,2
@Unnivlogh,Sigma mindaruth 😂,2
@thanu259,𝗦𝗼𝗹𝗼𝘃𝗶𝗻𝗲𝗿 𝗳𝗮𝗻𝘀 𝗽𝗼𝗿𝗮𝘁𝘁𝗲𝗲.... 🙌🏻,2
@soumyasoman3753,Jaanmoniye kaanumbol chorinjukerunnnavar undo 😂,2
@soumyasoman3753,Bigg boss tvyil kaanunnavar undo comment,2
@soumyasoman3753,50 like tharamo😢,2
@souravlethesh3267,Janmani paranja kaato jaanum koche penkutty allaane😅,2
@Titan_Zeuz,1 like therumo,2
@sabiazad350,Bigg Boss yugam,2
@Siva.s-xc9fk,Koduman is a pot,2
@Af_guppies,Thoppi big bossil vannaal enthaakum,2
@Af_guppies,Thoppi big bossil vannaal enthaakum,2
@salihasaleempp6906,good video,2
@sineeraanzar4936,Eth 'kai' aan. Dragon balls ile supreme kai aano? 😅,2
@user-ol2ns2uf3q,50 like tharamo,2
@Fasnan2.,6:02 😅😅 100 like tharuvo👇,2
@mathaias1561,1 like tharumo,2
