Author,Comment,Predicted_Class
@user-wf4gz6my4k,666666666666666666666666666,2
@Rosaliedf,Theme 1 theme 2,2
@Rosaliedf,I like the two first  ones,2
@Jarnaldo44,U SHUILD BUY A PUG,1
@safaalrifai810,Sigma ball sake,2
@safaalrifai810,Ygysydydyydydydydufydydudyydhdydyegdgxgsgdgdgstsgdgsghdhxhxhxgxgdgfydhdhdyxydhdyhdgdhdhdhbs,2
@safaalrifai810,Ytffg n jh,2
@ephraimsihaloho2156,9:13 speed bark💀,2
@latonyawilliamson6794,🍀🍀🍀🍀,2
@garibfamgaribfam1865,1 was so cute,2
@adamkorkmaz6666,Thing1  and  thing2,2
@sajanbaniya9154,Awwwww this is so cute,2
@marson611,Real dog is ishowspeed 🤣🤣🤣🤣🤣,2
@user-bk8yq6vy4j,i really wanted him to get ben 🐶🐕,2
@lucklyduck,2,2
@lucklyduck,i love puppy’s im getting one soon too im so excited!,2
@Dripgod3262,Ben 10 is so convenient,2
@Dripgod3262,Is his Lock Screen Ben,2
@Dripgod3262,Thor is so cute,2
@unapologeticdida,"I can’t go to such a place, I would take all if I can",2
@krystalgutierrez2909,3😊❤,2
@krystalgutierrez2909,I shall speed to get another dog is a French name it Ronaldo is a boy😊🙏🏻🙏🏻🙏🏻,2
@RafaelCoolGamer7,He name the dog after himself,2
@user-fv3wt7se8s,You you good,1
@user-yx9bj8ls8v,6,2
@kain-wl1vk,.#3,2
@Pomnicute678,Nnnnnnnnnnnnnnnn,2
@Pomnicute678,O,2
@EhzterChavez,And those two dogs and the Frenchy you guys you should get like four dogs🐶 ❤,2
@EhzterChavez,I follow you every day🎉,2
@EhzterChavez,I cannot they’re just too adorable. Why would you leave them?😢,2
@EhzterChavez,I think you should get thing one and thing two they are adorable🥰,2
@maimounagueye5237,So cute Im about to cry😂,2
@maimounagueye5237,The. Bear,2
@maimounagueye5237,My. Mom. is. scared of dogs,2
@Overlordplayzgaming,Sneaky I have a name for the dog😊😊😊,2
@Overlordplayzgaming,Poodles,2
@HoldenMazzucco,Thing 1 and thing 2,2
@HoldenMazzucco,Bark now in 2024 right now,2
@HoldenMazzucco,You from Warwick or Australia speed,2
@HoldenMazzucco,I love the dog you got it’s so cute 😊,2
@shellybabydollmillsaps9438,Do we,2
@Supercoolforstdude-hw8hy,can someone pls tell me what this adoption center is and where it's at,2
@lavanyaattanayaka5346,4rth one was like escape me from this man🤣,2
