Author,Comment,Predicted_Class
@sajeelaa,Zoo Boss supper,2
@rubeenapm173,Jasmine ishtamillathavar after bigboss😑😑😑,2
@neethumolk8976,😁😁😁,2
@Kmc_king000,Hello guys,2
@Sam_t_000,5:09 no bro he's a Pro boxer ❤,2
@user-ty2ss9de2e,Yes,2
@haneenaashraf701,Jasmine oru muslim aan aval thanne orkanilla,2
@bhavananair3519,Oru 27 like tharumo,2
@pharahogaming8900,agree 3:19,2
@amanmalikmalik7207,And,2
@user-vy9ny4jx5q,Neee committed ayadhin pinne ninte vd nokn paangilla😢,1
@user-vy9ny4jx5q,Jasmine istamullawar like...,2
@user-pv4re1uz8d,You will understand that you should also go for it,2
@salman.fyzzzz,6:22 padachone🤣,2
@ayushdev1327,1 billion like tharumo🤓👇,2
@vaishnav-vj3gt,in one word it is a zoo,2
@safwanabeegam1437,7:13 crct💯,2
@starry.05.,gabri ❌ narry ✅,2
@SureshKumar-bk7qm,Good,2
@santhinianilkumar5363,Jinto I give 2009-2010 mr kerala😂😂,2
@RenjuRenju-dx6dh,Jaanmoni😂😂😂blablabla😂😂😅,2
@s4sanju34,"World best couples Jasmine gabrii,,, hoo ponneeee...... 😴😬🤧🤮",2
@s4sanju34,The contestants in bigg boss must feel disgusted with themselves after seeing this video...... 😡,2
@6b21dayaxjohny3,Jamineta thalake pata kole eduthe adikanam,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,Watching big boss ❌ but waching big boss troll ✔️,2
@beenarocky4503,The people who don't see big boss 😂👇❤😅,2
@beenarocky4503,The people who don't see big boss 😂👇❤,2
@beenarocky4503,The people who don't see big boss 😂👇❤,2
@beenarocky4503,The people who don't see big boss 😂👇❤,2
@beenarocky4503,The people who don't see big boss 😂👇❤,2
@beenarocky4503,The people who don't see big boss 😂👇❤,2
@beenarocky4503,The people who don't see big boss 😂👇❤,2
@Ashiponnu29,😂,2
@ashasuji2218,4:50,2
@ashasuji2218,4:38,2
@shivaganga4043,Imagine the contestants watching this after bigboss😅,2
@KKrish-iv2ig,Hi chetta number tharumo please 😢,2
@asifajim2075,Randuperum oru bedil kidannennum paranju onnum sambhavikilla gabrikk athinolla kazhivonnum illa,2
@jithuappu7131,🤣🤣🤣,2
@ansalnarajeeb2000,Big boss is watched through this 😁😁😁,2
@somanv.m.1380,The debauchery of lustful and lustful men.,1
@ffachuyt8042,Big boss means = samuha vivaham nadathunna sthalam,2
@vishnu-nm1cv,Gabri appi itta cherkkan😹,2
@sindhuealias4750,Hlo... Hlooooo😂,2
@sherinslog4582,"However, as you said, it happened and Rocky was knocked out",2
@reaction_is_not_easy.,9:00,2
@AyamuttiAyamutti,TŔFU7Y7ud,2
@absharahamed945,bro spitting facts🤣,2
@__chichi__515,jamine gabri haters like👇,2
@__chichi__515,Jasmin 😂😂 cuteness yt il thuri ariyummm ippo avallude Vali poyi,2
@__chichi__515,Jasmin ninne peedipichal athene ni lover enn aano parayunath😂,1
@__chichi__515,😂😂😂😂😂😂,2
@Vibes-with-renju,"Condent venomkill big bossill new seen undayirunnu enthanu ennu nanjn parayunnilla ,just watch and see😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊",2
@padmapadma3605,Gabri &jasmine friendship or love .kru kuthavum manasilakunnilla🤨🤨,2
@jewelsanthosh4680,Oruç aninum peninum orikyalum Friends ayi jeevikyam Patti la jasmin,2
@fabeenajasmine1039,6:21 finger,2
